item_name,location,qty_available
Гироагрегат,"Пулковская улица, 6 | ауд. 3-313",48
Изделие НВУ,"Пулковская улица, 6 | ауд. 3-313",2
Компас,"Пулковская улица, 6 | ауд. 3-313",2
ППД-1М,"Пулковская улица, 6 | ауд. 3-313",4
Платформа ПГ-1В-11,"Пулковская улица, 6 | ауд. 3-313",4
Пуль управления ПУ-36,"Пулковская улица, 6 | ауд. 3-313",2
Система воздушных сигналов,"Пулковская улица, 6 | ауд. 3-313",8
Точная курсовая система ТКСП,"Пулковская улица, 6 | ауд. 3-313",2
Точная курсовая система ТКСП-2,"Пулковская улица, 6 | ауд. 3-313",2
Указатель поворота ЭУП-53 электрический,"Пулковская улица, 6 | ауд. 3-313",8
Установка КТУ-1,"Пулковская улица, 6 | ауд. 3-313",2
Установка КТУ-1М,"Пулковская улица, 6 | ауд. 3-313",2
Установка УПП ГМК,"Пулковская улица, 6 | ауд. 3-313",2
Установка проверки авиагоризонтов ПА-АГД-1,"Пулковская улица, 6 | ауд. 3-313",2
Установка проверки гироскопических приборов УПГ-56,"Пулковская улица, 6 | ауд. 3-313",2
Установка проверки курсовых систем,"Пулковская улица, 6 | ауд. 3-313",6
Комплект специализированной мебели,"Пулковская улица, 6 | ауд. 3-316",1
Установка КТУ-1М Установка лабораторная для исследования регулировки скорости двигателя Установка ППУ-2 Установка проверки манометров ЭУПМ-2М Установка проверки тахометров УПТ КСП Установка УПП-1 Установка УПТ-1М проверки термометров,"Пулковская улица, 6 | ауд. 3-316",1
Комплекс лабораторных стендов “Основы электроники” - 8 рабочих мест,"Пулковская улица, 6 | ауд. 3-401",1
Интерактивная проекционная система SMARTBOARDSBX 88014/UF65 Стол консоль преподавателя мультимедийная Helios МЕБ 930695 Многоформативный переключатель коммутатор KRAMERVP-23C Документ-камера AVER VISION 300 AF,"Пулковская улица, 6 | ауд. 3-402",1
ПК преподавателя,"Пулковская улица, 6 | ауд. 3-402",1
Радиостанции «Серии 200»: - приёмопередатчик многоканальный ОВЧ с опцией EU230-S XU250A 6082 2017K03,"Пулковская улица, 6 | ауд. 3-402",1
блок дистанционного контроля и управления REM-BUS с опциями GV201-S GV201-TGV201,"Пулковская улица, 6 | ауд. 3-402",1
передатчик многоканальный ОВЧ SU250A 6082 2317K02,"Пулковская улица, 6 | ауд. 3-402",1
приёмник многоканальный ОВЧ с опциями EU230-S IN201A EU230 6082.2917K02 Дальномер самолетный СД-67 Аппаратура навигации и посадки курс МП-70,"Пулковская улица, 6 | ауд. 3-402",2
Лабораторный стенд “Автогенераторы гармонических колебаний ” УФС,"Пулковская улица, 6 | ауд. 3-404",3
Лабораторный стенд “Амплитудная модуляция” УФС,"Пулковская улица, 6 | ауд. 3-404",3
Оборудование 87Л-01 для проведения лабораторно-практических работ,"Пулковская улица, 6 | ауд. 3-404",2
Учебно-лабораторный стенд “Пассивный цифровой синтезатор частоты” УФС-4 Учебно-лабораторный стенд “Цифровой синтезатор частоты с ФАП” УФС-5,"Пулковская улица, 6 | ауд. 3-404",1
Учебно-лабораторный стенд “Транзисторный усилитель мощности” УФС-01,"Пулковская улица, 6 | ауд. 3-404",3
Анализатор СК4-27 спектра,"Пулковская улица, 6 | ауд. 3-405",1
Генератор Г4-128 сигналов высокочастотный,"Пулковская улица, 6 | ауд. 3-405",1
Генератор Г4-80,"Пулковская улица, 6 | ауд. 3-405",1
Генератор Г4-83,"Пулковская улица, 6 | ауд. 3-405",2
Прибор измерительный РИП-3 радиолокационный,"Пулковская улица, 6 | ауд. 3-405",3
Спектроанализатор С4-60,"Пулковская улица, 6 | ауд. 3-405",2
Учебный лабораторный комплекс для изучения приёмопередающих устройств и антенн,"Пулковская улица, 6 | ауд. 3-405",1
Частотомер Ч3-63/1,"Пулковская улица, 6 | ауд. 3-405",1
"Лабораторные стенды ""Электроника","Пулковская улица, 6 | ауд. 3-408",1
"микроэлектроника и телекоммуникации""","Пулковская улица, 6 | ауд. 3-408",1
"Лабораторные стенды ""Электроника","Пулковская улица, 6 | ауд. 3-409",1
"микроэлектроника и телекоммуникации""","Пулковская улица, 6 | ауд. 3-409",1
Детектор амплитудный УОС-02,"Пулковская улица, 6 | ауд. 3-412",1
Лабораторная установка УОС-01,"Пулковская улица, 6 | ауд. 3-412",1
Лабораторная установка УОС-02,"Пулковская улица, 6 | ауд. 3-412",1
Лабораторная установка УОС-04,"Пулковская улица, 6 | ауд. 3-412",1
Цепь входная УОС Инв.№ Лабораторная установка УОС-08,"Пулковская улица, 6 | ауд. 3-412",2
Специализированный тренажер технической эксплуатации летательных аппаратов и двигателей,"Пулковская улица, 6 | ауд. 3-413",1
авиационных электросистем и ПНК,"Пулковская улица, 6 | ауд. 3-413",1
транспортного радиооборудования НИТА,"Пулковская улица, 6 | ауд. 3-413",1
Мультимедийный проектор SANYO PLC XU-78 3000 ANSI XGA,"Пулковская улица, 6 | ауд. 3-414",1
интерактивная доска- экран ACTIV BOARD 78 162*116,"Пулковская улица, 6 | ауд. 3-414",1
Интерактивная доска- экран ACTIV BOARD 78 162*116,"Пулковская улица, 6 | ауд. 3-415",1
Мультимедийный проектор SANYO PLC XU-78 3000 ANSI XGA,"Пулковская улица, 6 | ауд. 3-415",1
Интерактивная доска- экран ACTIV BOARD 78 162*116,"Пулковская улица, 6 | ауд. 3-416",1
Мультимедийный проектор SANYO PLC XU-78 3000 ANSI XGA,"Пулковская улица, 6 | ауд. 3-416",1
Персональный компьютер,"Пулковская улица, 6 | ауд. 3-417",11
Стенд УМ-11: для изучения интегральных схем,"Пулковская улица, 6 | ауд. 3-420",3
Стенд УМ-12 для исследования счетчиков,"Пулковская улица, 6 | ауд. 3-420",3
Станция радиолокационная стенд Гроза-86 Стенд Гроза-СБ Станция радиолокационная Гроза Станция радиолокационная Гроза Станция радиолокационная А 813 Ответчик самолетный СОМ-64 - 2 комп,"Пулковская улица, 6 | ауд. 3-421",1
Лабораторные стенды «Основы метрологии и электрические измерения» - 10 рабочих мест,"Пулковская улица, 6 | ауд. 4-110",1
Многоформативный переключатель коммутатор KRAMERVP-23C Документ-камера AVER VISION 300 AF Радиостанция «Микрон» Радиопередатчик «Полет-2А»,"Пулковская улица, 6 | ауд. 4-111",1
Лабораторный комплекс NI ELVIS 2,"Пулковская улица, 6 | ауд. 4-115",9
Персональный компьютер,"Пулковская улица, 6 | ауд. 4-115",9
Персональный компьютер,"Пулковская улица, 6 | ауд. 4-117",10
Комплект ЛКО-1-М,"Пулковская улица, 6 | ауд. 4-214",4
"Комплект учебной мебели (столы, стулья, доска)","Пулковская улица, 6 | ауд. 4-214",1
ПЭВМ FORMOSA 7280,"Пулковская улица, 6 | ауд. 4-214",4
"Комплект учебной мебели (столы, стулья, доска)","Пулковская улица, 6 | ауд. 4-216",1
"Установка ""Маятник Максвелла"" ФМ-12","Пулковская улица, 6 | ауд. 4-216",3
"Установка ""Маятник Обербека"" ФМ-12","Пулковская улица, 6 | ауд. 4-216",3
"Комплект учебной мебели (столы, стулья, доска)","Пулковская улица, 6 | ауд. 4-217",1
"Монитор 17"" SAMSUNG 795","Пулковская улица, 6 | ауд. 4-217",9
Системные блоки Р4-2400,"Пулковская улица, 6 | ауд. 4-217",1
Системные блоки Р4-2800,"Пулковская улица, 6 | ауд. 4-217",8
"Комплект учебной мебели (столы, стулья, доска)","Пулковская улица, 6 | ауд. 4-218",1
ПЭВМ FORMOSA P4-2800,"Пулковская улица, 6 | ауд. 4-218",11
Аудитория 4-303,"Пулковская улица, 6 | ауд. 4-303",1
ПЭВМ З4-2800,"Пулковская улица, 6 | ауд. 4-303",2
"Установка ""Спектр излучения атома водорода"" ФПК-09","Пулковская улица, 6 | ауд. 4-303",4
"Установка""Зонная теория электропроводности"" ФПК-07","Пулковская улица, 6 | ауд. 4-303",4
"Учебная аудитория для проведения лабораторных работ Комплект учебной мебели (столы, стулья, доска)","Пулковская улица, 6 | ауд. 4-303",1
"Комплект учебной мебели (столы, стулья, доска)","Пулковская улица, 6 | ауд. 4-306",1
ПЭВМ PENTIUM 4,"Пулковская улица, 6 | ауд. 4-306",15
Проектор PANASONIC,"Пулковская улица, 6 | ауд. 4-306",1
Рабочая станция CORE,"Пулковская улица, 6 | ауд. 4-306",6
"Комплект учебной мебели (столы, стулья, доска)","Пулковская улица, 6 | ауд. 4-307",1
"Комплект учебной мебели (столы, стулья, доска)","Пулковская улица, 6 | ауд. 4-308",1
"Комплект учебной мебели (столы, стулья, доска)","Пулковская улица, 6а | ауд. 1-202",2
"Комплект учебной мебели (столы, стулья, доска)","Пулковская улица, 6а | ауд. 1-203",2
"Комплект учебной мебели (столы, стулья, доска)","Пулковская улица, 6а | ауд. 1-204",1
"""Комплект учебной мебели (столы, стулья, доска)","Пулковская улица, 6а | ауд. 1-205",1
Персональный компьютер,"Пулковская улица, 6а | ауд. 1-205",1
Программное обеспечение : пакет программ Microsoft,"Пулковская улица, 6а | ауд. 1-205",1
Проектор,"Пулковская улица, 6а | ауд. 1-205",1
Экран,"Пулковская улица, 6а | ауд. 1-205",1
"Комплект учебной мебели (столы, стулья, доска)","Пулковская улица, 6а | ауд. 1-206",1
Персональный компьютер,"Пулковская улица, 6а | ауд. 1-206",1
"Программное обеспечение : пакет программ Microsoft (ОС семейства Windows, пакеты приложений Microsoft Office)","Пулковская улица, 6а | ауд. 1-206",1
Проектор,"Пулковская улица, 6а | ауд. 1-206",1
Экран,"Пулковская улица, 6а | ауд. 1-206",1
"Комплект учебной мебели (столы, стулья, доска)","Пулковская улица, 6а | ауд. 1-207",1
"Комплект учебной мебели (столы, стулья, доска)","Пулковская улица, 6а | ауд. 1-210",1
Доска меловая зеленая,"Пулковская улица, 6а | ауд. 1-211",1
ПК Стол письменный,"Пулковская улица, 6а | ауд. 1-211",7
Стул,"Пулковская улица, 6а | ауд. 1-211",13
Тумба 3 ящика,"Пулковская улица, 6а | ауд. 1-211",1
Шкаф для бумаг,"Пулковская улица, 6а | ауд. 1-211",1
"Монитор MultiSync LCD1970NXp 19""""","Пулковская улица, 6а | ауд. 1-212",1
ПК Formoza P4-2/8 2MBEM64T + FAN\:i945G\512 MDDR II PC-E128X700TV\ETHC1000PCI\3''\DVD (Сист.бл),"Пулковская улица, 6а | ауд. 1-212",1
Сейф,"Пулковская улица, 6а | ауд. 1-212",2
Шкаф для бумаг,"Пулковская улица, 6а | ауд. 1-212",2
Акустические системы Edifier,"Пулковская улица, 6а | ауд. 1-213",2
Интерактивная доска Panasonic UB-T580W,"Пулковская улица, 6а | ауд. 1-213",1
Конструктив преподавателя Teacher Desk 330.01HD,"Пулковская улица, 6а | ауд. 1-213",1
Конструктив студента Student Desk 331.01HD,"Пулковская улица, 6а | ауд. 1-213",16
Маршрутизатор D-Link DGS-1100-24,"Пулковская улица, 6а | ауд. 1-213",1
Монитор ViewSonic VX2210 VH-LED,"Пулковская улица, 6а | ауд. 1-213",2
Моноблок Lenovo B320 10069,"Пулковская улица, 6а | ауд. 1-213",16
Проектор мультимедийный Panasonic PT-AE7000,"Пулковская улица, 6а | ауд. 1-213",1
Системные блоки ATX-400PNR,"Пулковская улица, 6а | ауд. 1-213",2
Шкаф для бумаг,"Пулковская улица, 6а | ауд. 1-213",4
"Комплект учебной мебели (столы, стулья, доска)","Пулковская улица, 6а | ауд. 1-214",1
"Комплект учебной мебели (столы, стулья, доска)","Пулковская улица, 6а | ауд. 1-215",1
"Комплект учебной мебели (столы, стулья, доска)","Пулковская улица, 6а | ауд. 1-216",1
"Комплект учебной мебели (столы, стулья, доска)","Пулковская улица, 6а | ауд. 1-217",1
"Комплект учебной мебели (столы, стулья, доска) Ноутбук Acer","Пулковская улица, 6а | ауд. 1-304",1
Мультимедийный проектор Panasonic,"Пулковская улица, 6а | ауд. 1-304",1
Переносной экран на штативе Matte White S 200х200,"Пулковская улица, 6а | ауд. 1-304",1
6/INTEL,"Пулковская улица, 6а | ауд. 1-305",4
8/INTEL,"Пулковская улица, 6а | ауд. 1-305",11
"Дисплей TFT (Монитор Samsung LCD 17"""" 710 N TFT)","Пулковская улица, 6а | ауд. 1-305",9
"Дисплей TFT (Монитор Samsung LCD 19"""" 910 N TFT)","Пулковская улица, 6а | ауд. 1-305",6
"Комплект учебной мебели (столы, стулья, доска) Рабочие места","Пулковская улица, 6а | ауд. 1-305",15
Компьютер Pentium 4-2,"Пулковская улица, 6а | ауд. 1-305",2
Блок БК-300,"Пулковская улица, 6а | ауд. 1-307",3
Блок БКН-86,"Пулковская улица, 6а | ауд. 1-307",3
Блок БПБЭ 3Б,"Пулковская улица, 6а | ауд. 1-307",3
Блок БПП-76,"Пулковская улица, 6а | ауд. 1-307",3
Блок БРН,"Пулковская улица, 6а | ауд. 1-307",5
Блок автоматического запуска БАЗ-86,"Пулковская улица, 6а | ауд. 1-307",4
Блок защиты БЗУ,"Пулковская улица, 6а | ауд. 1-307",2
Блок реле,"Пулковская улица, 6а | ауд. 1-307",4
Выпрямитель ВУ-3Б,"Пулковская улица, 6а | ауд. 1-307",2
Измеритель температуры ИТП-1,"Пулковская улица, 6а | ауд. 1-307",1
Индикатор ИП-45Э,"Пулковская улица, 6а | ауд. 1-307",1
Мультиметр стрелочный,"Пулковская улица, 6а | ауд. 1-307",6
Преобразователь ПТС-250-2с,"Пулковская улица, 6а | ауд. 1-307",1
Прибор УКАМП,"Пулковская улица, 6а | ауд. 1-307",2
Пульт ППСС,"Пулковская улица, 6а | ауд. 1-307",1
Радиовысотомер А-031,"Пулковская улица, 6а | ауд. 1-307",2
Радиокомпас АРК-15,"Пулковская улица, 6а | ауд. 1-307",1
Радиостанция БАКЛАН-20,"Пулковская улица, 6а | ауд. 1-307",2
Радиостанция МИКРОН МК-36-03,"Пулковская улица, 6а | ауд. 1-307",1
СУС-86,"Пулковская улица, 6а | ауд. 1-307",2
Система 2ИА-7АБ,"Пулковская улица, 6а | ауд. 1-307",1
Трансформатор ТС,"Пулковская улица, 6а | ауд. 1-307",2
Тренажер Ил-86 Автомат переключения питания АПП-1М-3,"Пулковская улица, 6а | ауд. 1-307",2
Указатель УИ3 3Б,"Пулковская улица, 6а | ауд. 1-307",2
"Комплект учебной мебели (столы, стулья, доска)","Пулковская улица, 6а | ауд. 1-308",1
Аппаратура контрольно-проверочная АП-СВС-2П,"Пулковская улица, 6а | ауд. 1-309",1
Аппаратура контрольно-проверочная КПА-20-86,"Пулковская улица, 6а | ауд. 1-309",2
Аппаратура контрольно-проверочная ОРБИТА-20 ПП20-9,"Пулковская улица, 6а | ауд. 1-309",1
Аппаратура сдвоенная измерительная 2ИА-7А,"Пулковская улица, 6а | ауд. 1-309",2
Выпрямитель ВКС-285,"Пулковская улица, 6а | ауд. 1-309",1
Датчик поплавковый,"Пулковская улица, 6а | ауд. 1-309",1
Индукционный датчик,"Пулковская улица, 6а | ауд. 1-309",2
Комплекс пилотажно-навигационный ПИЖМА,"Пулковская улица, 6а | ауд. 1-309",1
Курсовертикаль инерциальная ИКВ-72,"Пулковская улица, 6а | ауд. 1-309",1
МСРП,"Пулковская улица, 6а | ауд. 1-309",1
Машина вычислительная ЦВМ-20-86К,"Пулковская улица, 6а | ауд. 1-309",1
Преобразователь ПТС-250-2с,"Пулковская улица, 6а | ауд. 1-309",1
Прибор АП-СВС-2П,"Пулковская улица, 6а | ауд. 1-309",1
Прибор УПМ-1,"Пулковская улица, 6а | ауд. 1-309",1
САРПП,"Пулковская улица, 6а | ауд. 1-309",1
СТ-1,"Пулковская улица, 6а | ауд. 1-309",2
Система ИПОС-4 противообледенительная,"Пулковская улица, 6а | ауд. 1-309",14
Система МСРП-256-1В,"Пулковская улица, 6а | ауд. 1-309",2
Система САС-4-3,"Пулковская улица, 6а | ауд. 1-309",1
Система СКТТ-1,"Пулковская улица, 6а | ауд. 1-309",1
Система СПГ1 ВК1604006ПС,"Пулковская улица, 6а | ауд. 1-309",1
Стенд УС-4,"Пулковская улица, 6а | ауд. 1-309",2
Стенд системы запуска двигателей,"Пулковская улица, 6а | ауд. 1-309",1
Стенд системы управления закрылками,"Пулковская улица, 6а | ауд. 1-309",1
Стенд системы электроснабжения переменным током,"Пулковская улица, 6а | ауд. 1-309",1
Стенд системы электроснабжения постоянным током,"Пулковская улица, 6а | ауд. 1-309",1
Установка КПУ-3,"Пулковская улица, 6а | ауд. 1-309",1
Установка ППУР-42,"Пулковская улица, 6а | ауд. 1-309",1
Установка СПКА,"Пулковская улица, 6а | ауд. 1-309",1
Установка УП3-АОС81М проверки автомата обогрева стекол,"Пулковская улица, 6а | ауд. 1-309",1
Устройство воспроизведения информации СНОУ-1,"Пулковская улица, 6а | ауд. 1-309",1
Щит школьный электрораспределительный,"Пулковская улица, 6а | ауд. 1-309",1
Акустическая система JBL,"Пулковская улица, 6а | ауд. 1-311",1
Интерактивная доска Activeboard Promethean,"Пулковская улица, 6а | ауд. 1-311",1
Коммутационный модуль H-23,"Пулковская улица, 6а | ауд. 1-311",1
"Комплект учебной мебели (столы, стулья, доска) Ноутбук ASUS","Пулковская улица, 6а | ауд. 1-311",1
Мультимедийный проектор SANYO,"Пулковская улица, 6а | ауд. 1-311",1
Проигрыватель DVD JVC,"Пулковская улица, 6а | ауд. 1-311",1
Усилитель мощности CROWN,"Пулковская улица, 6а | ауд. 1-311",1
"Комплект учебной мебели (столы, стулья, доска)","Пулковская улица, 6а | ауд. 1-312",1
"Комплект учебной мебели (столы, стулья, доска)","Пулковская улица, 6а | ауд. 1-315",1
"Комплект учебной мебели (столы, стулья, доска)","Пулковская улица, 6а | ауд. 2-101",1
Персональный компьютер,"Пулковская улица, 6а | ауд. 2-101",1
Проектор,"Пулковская улица, 6а | ауд. 2-101",1
Экран,"Пулковская улица, 6а | ауд. 2-101",1
"Комплект учебной мебели (столы, стулья, доска)","Пулковская улица, 6а | ауд. 2-102",1
ПК 1-шт,"Пулковская улица, 6а | ауд. 2-102",1
Проектор,"Пулковская улица, 6а | ауд. 2-102",1
Экран,"Пулковская улица, 6а | ауд. 2-102",1
"Комплект учебной мебели (столы, стулья, доска)","Пулковская улица, 6а | ауд. 2-107",1
Персональный компьютер,"Пулковская улица, 6а | ауд. 2-107",11
"Программное обеспечение: Microsoft (ОС семейства Windows, пакеты приложений Microsoft Office)","Пулковская улица, 6а | ауд. 2-107",1
"Комплект учебной мебели (столы, стулья, доска)","Пулковская улица, 6а | ауд. 2-108",1
Персональный компьютер,"Пулковская улица, 6а | ауд. 2-108",12
"Программное обеспечение: Microsoft (ОС семейства Windows, пакеты приложений Microsoft Office)","Пулковская улица, 6а | ауд. 2-108",1
"Комплект учебной мебели (столы, стулья, доска)","Пулковская улица, 6а | ауд. 2-109",1
Персональный компьютер,"Пулковская улица, 6а | ауд. 2-109",12
"Программное обеспечение: Microsoft (ОС семейства Windows, пакеты приложений Microsoft Office)","Пулковская улица, 6а | ауд. 2-109",1
"Комплект учебной мебели (столы, стулья, доска)","Пулковская улица, 6а | ауд. 2-115",2
Персональный компьютер,"Пулковская улица, 6а | ауд. 2-115",20
"Программное обеспечение: Microsoft (ОС семейства Windows, пакеты приложений Microsoft Office)","Пулковская улица, 6а | ауд. 2-115",2
"Комплект учебной мебели (столы, стулья, доска)","Пулковская улица, 6а | ауд. 2-116",1
Персональный компьютер,"Пулковская улица, 6а | ауд. 2-116",10
"Программное обеспечение: Microsoft (ОС семейства Windows, пакеты приложений Microsoft Office)","Пулковская улица, 6а | ауд. 2-116",1
Тренажер полноразмерной имитации кабины самолета А330/А320,"Пулковская улица, 6а | ауд. 2-202",1
Авиационный тренажер для обучения техническому обслуживанию самолета А320,"Пулковская улица, 6а | ауд. 2-206",1
Место инструктора,"Пулковская улица, 6а | ауд. 2-206",1
Принтер НР,"Пулковская улица, 6а | ауд. 2-206",1
Рабочее место обучающегося,"Пулковская улица, 6а | ауд. 2-206",12
"Комплект учебной мебели (столы, стулья, доска)","Пулковская улица, 6а | ауд. 2-219",1
"Комплект учебной мебели (столы, стулья, доска)","Пулковская улица, 6а | ауд. 2-221",1
