variant,canonical
Персональный компьютер (рабочее место студента),Персональный компьютер
Персональный компьютер (рабочее место),Персональный компьютер
Компьютер преподавателя с аудиосистемой,Компьютер преподавателя
Компьютер преподавателя,Компьютер преподавателя
Сервер учебный (виртуализация/контейнеры),Сервер учебный
Сервер учебный (ноды/контейнеры),Сервер учебный
ИБП для сервера,ИБП
Комплект мебели учебной,Комплект учебной мебели
Комплект учебной мебели,Комплект учебной мебели
"Комплект учебной мебели (столы, стулья, доска)",Комплект учебной мебели
"Комплект учебной мебели (столы, стулья, шкафы)",Комплект учебной мебели
Проектор,Мультимедийный проектор
Видеопроектор,Мультимедийный проектор
Мультимедийный видеопроектор,Мультимедийный проектор
Мультимедийный проектор,Мультимедийный проектор