адрес_места_нахождения,наименование_кабинета,оснащенность,приспособленность_для_инвалидов
"Пулковская улица, 6а","Аудитория 1-308 Учебная аудитория для проведения занятий лекционного типа, семинарского типа, практических занятий, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска)",-
"Пулковская улица, 6а","Аудитория 1-217 Учебная аудитория для проведения занятий семинарского типа, практических занятий, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска)",-
"Пулковская улица, 6а","Аудитория 1-216 Учебная аудитория для проведения занятий семинарского типа, практических занятий, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска)",-
"Пулковская улица, 6а","Аудитория 1-215 Учебная аудитория для проведения занятий семинарского типа, практических занятий, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска)",-
"Пулковская улица, 6а","Аудитория 1-210 Учебная аудитория для проведения занятий семинарского типа, практических занятий, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска)",-
"Пулковская улица, 6а","Аудитория 1-207 Учебная аудитория для проведения занятий семинарского типа, практических занятий,текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска)",-
"Пулковская улица, 6а","Аудитория 1-206 Учебная аудитория для проведения занятий лекционного типа, практических занятий, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска); ПК -1 шт, Проектор – 1 шт.,Экран – 1 шт. Программное обеспечение : пакет программ Microsoft (ОС семейства Windows, пакеты приложений Microsoft Office)",-
"Пулковская улица, 6а","Аудитория 1-205 Учебная аудитория для проведения занятий лекционного типа, практических занятий, текущего контроля и промежуточной аттестации","""Комплект учебной мебели (столы, стулья, доска); ПК -1 шт, Проектор – 1 шт.,Экран – 1 шт. Программное обеспечение : пакет программ Microsoft",-
"Пулковская улица, 6а","Аудитория 1-204 Учебная аудитория для проведения занятий семинарского типа, практических занятий, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска)",-
"Пулковская улица, 6а","Аудитория 1-203 Учебная аудитория для проведения занятий семинарского типа, практических занятий, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска)",-
"Пулковская улица, 6а","Аудитория 1-202 Учебная аудитория для проведения занятий семинарского типа, практических занятий, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска)",-
"Пулковская улица, 6а","Аудитория 1-203 Учебная аудитория для проведения занятий семинарского типа, практических занятий, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска)",-
"Пулковская улица, 6а","Аудитория 1-202 Учебная аудитория для проведения занятий семинарского типа, практических занятий, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска)",-
"Пулковская улица, 6","Аудитория 3-302, Учебная аудитория для проведения практический занятий, лабораторных занятий, текущего контроля и промежуточной аттестации,  Учебно-тренажерный центр","Комплект учебной мебели  (столы, стулья, доска)  Экран к проектору 180*180 на треноге 10603086 - 1 шт., Плоттер HP DESIGNJET T525 - 1 шт., Рабочая станция АРМ ITP BUSINESS тип 2 - 5 шт.,  Рабочая станция  Тип 2 HP 260 G2 2VR73ES - 7 шт.",-
"Пулковская улица, 6","Аудитория 3-301, Учебная аудитория для проведения лабораторных занятий, текущего контроля и промежуточной аттестации,  Учебно-тренажерный центр","Комплект учебной мебели  (столы, стулья, доска)  Экран к проектору 180*180 на треноге 10603086 - 1 шт., Плоттер HP DESIGNJET T525 - 1 шт., Рабочая станция АРМ ITP BUSINESS тип 2 - 5 шт.,  Рабочая станция  Тип 2 HP 260 G2 2VR73ES - 7 шт.",-
"Пулковская улица, 6","Аудитория 3-208, Учебная аудитория для проведения занятий семинарского типа, практических занятий, текущего контроля и промежуточной аттестации,  Учебно-тренажерный центр","ТРЕНАЖЕР ""СИНТЕЗ-ТЦ"" 30600251 -01 шт, ТРЕНАЖЕР ""СИНТЕЗ-ТЦ"" 210126004922 -01 шт, Доска аудиторная поворотная ДП-12 (150*100) 10603731 -1 шт",-
"Пулковская улица, 6","Аудитория 3-207, Учебная аудитория для проведения занятий семинарского типа, практических занятий, текущего контроля и промежуточной аттестации,  Учебно-тренажерный центр","ТРЕНАЖЕР ""СИНТЕЗ-ТЦ"" 30600251 -01 шт, ТРЕНАЖЕР ""СИНТЕЗ-ТЦ"" 210126004922 -01 шт, Доска аудиторная поворотная ДП-12 (150*100) 10603731 -1 шт",-
"Пулковская улица, 6","Аудитория 3-205, Учебная аудитория для проведения занятий семинарского типа, практических занятий, текущего контроля и промежуточной аттестации,  Учебно-тренажерный центр","ТРЕНАЖЕР ""СИНТЕЗ-ТЦ"" 30600251 -01 шт, ТРЕНАЖЕР ""СИНТЕЗ-ТЦ"" 210126004922 -01 шт, Доска аудиторная поворотная ДП-12 (150*100) 10603731 -1 шт",-
"Пулковская улица, 6а",Аудитория 1-213 Аудитория для проведения практических занятий,"Конструктив преподавателя Teacher Desk 330.01HD, б/н, Конструктив студента Student Desk 331.01HD, б/н, 16 шт., Моноблок Lenovo B320 10069 16 шт., Системные блоки ATX-400PNR 2 шт., (инвентарный номер 747) Монитор ViewSonic VX2210 VH-LED 2 шт. Маршрутизатор D-Link DGS-1100-24, б/н, Проектор мультимедийный Panasonic PT-AE7000, Акустические системы Edifier, 2 шт. Интерактивная доска Panasonic UB-T580W, Шкаф для бумаг 4шт.",-
"Пулковская улица, 6а",Аудитория 1-212 Аудитория для проведения занятий лекционного типа,"ПК Formoza P4-2/8 2MBEM64T + FAN\:i945G\512 MDDR II PC-E128X700TV\ETHC1000PCI\3''\DVD (Сист.бл), Монитор MultiSync LCD1970NXp 19"""", Сейф 2 шт., Шкаф для бумаг 2 шт.",-
"Пулковская улица, 6а",Аудитория 1-211 Аудитория для проведения занятий лекционного типа,"ПК (Инвентарный номер 10401313) Стол письменный 7 шт., Стул 13 шт., Шкаф для бумаг,  Тумба 3 ящика, Доска меловая зеленая.",-
"Пулковская улица, 6",Аудитория 3-220 Учебная аудитория для проведения занятия лабораторного типа,"Комплект учебной мебели (столы, стулья, доска), БЛОК БРЧ-62БМ РЕГУЛИРОВКИ ЧАСТОТ, БЛОК РЕГУЛИРОВАНИЯ НАПРЯЖЕНИЯ БРН 208М7А, БЛОК РЕГУЛИРОВАНИЯ НАПРЯЖЕНИЯ БРН, БЛОК РЕГУЛИРОВАНИЯ НАПРЯЖЕНИЯ БРН 208М7А, БРЗУ-115, ВОЛЬТМЕТР В7-26 УНИВЕРСАЛЬНЫЙ, ВОЛЬТМЕТР Щ-304 ЦИФРОВОЙ, ВОЛЬТМЕТР Щ-304 ЦИФРОВОЙ, ГЕНЕРАТОР Г5-54, ГЕНЕРАТОР ГТ 40П46, ГЕНЕРАТОР ГТ 40П46, ОСЦИЛЛОГРАФ С1-79, Н10167, ОСЦИЛЛОГРАФ С1-77, ОСЦИЛЛОГРАФ С1-19Б, ОСЦИЛЛОГРАФ С1-72, ОСЦИЛЛОГРАФ С1-72, ПРЕОБРАЗОВАТЕЛЬ ПТС 500С, ПРИВОД ГП 40П46 ДЛЯ ИСПЫТАНИЯ ГЕНЕРАТОРОВ, СТЕНД УК-154 1000, СТАБИЛИЗАТОР ТЕС-7М, Системный блок HP Intel Core I3-6100U 2.30Ghz, Системный блок HP Intel Core I3-6100U 2.30Ghz",-
"Пулковская улица, 6",Аудитория 3-219 Учебная аудитория для проведения занятия лабораторного типа,"Комплект учебной мебели (столы, стулья, доска), ВОЛЬТМЕТР В7-27, ВОЛЬТМЕТР В7-27, ГЕНЕРАТОР ГТ 40П46, ГЕНЕРАТОР ГТ 40П46, 3 комплекта типового лабораторного оборудования """"Электрические машины и привод ЭМП2М-С-К",-
"Пулковская улица, 6",Аудитория 3-217 Учебная аудитория для проведения занятия лабораторного типа,"Комплект учебной мебели (столы, стулья, доска), ВОЛЬТМЕТР Щ-4313 ЦИФРОВОЙ, ВОЛЬТМЕТР Щ-4313 ЦИФРОВОЙ, ИЗМЕРИТЕЛЬ ПОЛНЫХ СОПРОТИВЛЕНИЙ Р3-35, ИЗМЕРИТЕЛЬ РАЗНОСТИ ФАЗ Ф2 – 34, ЛИНИЯ ИЗМЕРИТЕЛЬНАЯ Р1-36, ОСЦИЛЛОГРАФ С1-77, Л10012, СТАБИЛИЗАТОР ТЕС-7М, СТАБИЛИЗАТОР ТЕС-7М, СТАБИЛИЗАТОР ТЕС-13 ЛАБОРАТОРНЫЙ, СТАБИЛИЗАТОР ТЕС-13 ЛАБОРАТОРНЫЙ, СТЕНД ЛСЭ-2, СТЕНД ЛСЭ-2, СТЕНД ЛСЭ-2",-
"Пулковская улица, 6",Аудитория 3-125 Учебная аудитория для проведения занятия лабораторного типа,"Комплект учебной мебели (столы, стулья, доска), СТЕНД УК-154 0300, СТЕНД УК-154 1100, СТЕНД УК-154 0400, СТЕНД УК-154 0602 СИСТЕМА СП3-1А ИЗДЕЛИЕ 154, ВОЛЬТМЕТР Ф210 1/1, МАЯК ПРОБЛЕСКОВЫЙ СМИ-2КМ, МЕХАНИЗМ ЭПВ-8П, МЕХАНИЗМ ЭПВ-8П, ОСЦИЛЛОГРАФ С1-72, ОСЦИЛЛОГРАФ С1-117/1, ОСЦИЛЛОГРАФ С1-117/1, СТАБИЛИЗАТОР ТЕС-15, СТАБИЛИЗАТОР ТЕС-7М",-
"Пулковская улица, 6",Аудитория 3-116 Учебная аудитория для проведения занятия лабораторного типа,"Комплект учебной мебели (столы, стулья, доска), 4 комплекта типового универсального лабораторного оборудования ""Теория электрических цепей и основы электротехники"" ТЭЦОЭ1-С-К, ПК Intel Celeron® CPU G1610 2.6 Ghz 4 шт., Дисплей Philips 4 шт.",-
"Пулковская улица, 6",Аудитория 3-111 Учебная аудитория для проведения занятия лабораторного типа,"Комплект учебной мебели (столы, стулья, доска), 8 комплектов универсальных лабораторных стендов ТЭЦ иОЭ2-СКМ ""Теория электрических цепей и основы электротехники"", ПК Intel Pentium CPU G2020 2.9 Ghz 7 шт., Дисплей Philips 7 шт., Компьютер преподавателя Pentium CPU G860 3Ghz, Системны блок HP Intel Core I3-6100U 2.30Ghz, Учебный стенд ""Источники света"", Настенный монитор Sharp, Учебный стенд ""Электрические системы света и светильники",-
"Пулковская улица, 6",Аудитория 3-102 Учебная аудитория для проведения занятия лекционного и семинарского типов,"Комплект учебной мебели (столы, стулья, доска), Интерактивная проекционная система SMARTBOARD SBX880 I4/UF65, Компьютер преподавателя HP P3130 PRO",-
"Пулковская улица, 6",Аудитория 3-101 Учебная аудитория для проведения занятия лабораторного типа,"""Комплект учебной мебели (столы, стулья, доска), 10 учебных стендов ТЭЦОЭ –С-К, ПК Intel Celeron® CPU G1610 2.6 Ghz 9 шт., Дисплей Philips  9шт., Учебный стенд """"Электрические системы света и светильники""",-
"Пулковская улица, 6","Аудитория 4-308, Учебная аудитория для проведения занятия  семинарского типа, лабораторных работ, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска)",-
"Пулковская улица, 6","Аудитория 4-307, Учебная аудитория для проведения занятия  семинарского типа, лабораторных работ, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска);",-
"Пулковская улица, 6","Аудитория 4-306, Учебная аудитория для проведения занятия  семинарского типа, лабораторных работ, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска); ПЭВМ PENTIUM 4 - 15 шт.; Рабочая станция CORE - 6 шт.;  Проектор PANASONIC - 1 шт.",-
"Пулковская улица, 6","Аудитория 4-303,  Учебная аудитория для проведения  лабораторных работ","Аудитория 4-303,  Учебная аудитория для проведения  лабораторных работ	Комплект учебной мебели (столы, стулья, доска);  ПЭВМ  З4-2800 - 2 шт; Установка ""Спектр излучения атома водорода"" ФПК-09 - 4 шт.; Установка""Зонная теория электропроводности"" ФПК-07 - 4 шт.",-
"Пулковская улица, 6","Аудитория 4-218,  Учебная аудитория для проведения занятия  семинарского типа, лабораторных работ, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска); ПЭВМ FORMOSA P4-2800 - 11 шт.",-
"Пулковская улица, 6","Аудитория 4-217,  Учебная аудитория для проведения  лабораторных работ","Комплект учебной мебели (столы, стулья, доска); Системные блоки Р4-2800 -  8шт.; Системные блоки  Р4-2400 - 1 шт.; Монитор 17"" SAMSUNG 795 - 9 шт.",-
"Пулковская улица, 6","Аудитория 4-214,  Учебная аудитория для проведения  лабораторных работ","Комплект учебной мебели (столы, стулья, доска); Комплект ЛКО-1-М - 4 шт.; ПЭВМ FORMOSA 7280 - 4 шт.",-
"Пулковская улица, 6","Аудитория 4-216,  Учебная аудитория для проведения  лабораторных работ","Комплект учебной мебели (столы, стулья, доска);          Установка ""Маятник Максвелла"" ФМ-12 - 3 шт.;             Установка ""Маятник Обербека"" ФМ-12 - 3 шт.",-
"Пулковская улица, 6","Аудитория 3-420, Лаборатория схемотехники",Стенд УМ-11: для изучения интегральных схем – 3 шт.  Стенд УМ-12 для исследования счетчиков – 3 шт.,-
"Пулковская улица, 6","Аудитория 3-409, Лаборатория схемотехники и микроэлектроники","Лабораторные стенды ""Электроника, микроэлектроника и телекоммуникации"" на 16 рабочих мест.",-
"Пулковская улица, 6","Аудитория 3-408,  Лаборатория схемотехники и микроэлектроники","Лабораторные стенды ""Электроника, микроэлектроника и телекоммуникации"" на 16 рабочих мест.",-
"Пулковская улица, 6","Аудитория 4-110, Лаборатория метрологии, стандартизации и сертификации",Лабораторные стенды «Основы метрологии и электрические измерения» - 10 рабочих мест.,-
"Пулковская улица, 6","Аудитория 4-115, Специализированный компьютерный класс","Лабораторный комплекс NI ELVIS 2 - 9шт, ПК-9шт",-
"Пулковская улица, 6","Аудитория 4-117, Специализированный компьютерный класс",ПК-10шт.,-
"Пулковская улица, 6","Аудитория 4-111, Лаборатория радиосвязных устройств и их эксплуатации",Многоформативный переключатель коммутатор KRAMERVP-23C Документ-камера AVER VISION 300 AF Радиостанция «Микрон» Радиопередатчик «Полет-2А»,-
"Пулковская улица, 6","Аудитория 3-412, Лаборатория устройств приема и обработки сигналов",Лабораторная установка УОС-01.  Лабораторная установка УОС-02. Детектор амплитудный УОС-02. Лабораторная установка УОС-04. . Цепь входная УОС 04. Инв.№ Лабораторная установка УОС-08.  2 шт.,-
"Пулковская улица, 6","Аудитория 3-404, Лаборатория устройств формирования и передачи сигналов",Оборудование 87Л-01 для проведения лабораторно-практических работ. -  2 шт. Лабораторный стенд “Автогенераторы гармонических колебаний ” УФС 03.  - 3шт. Учебно-лабораторный стенд “Транзисторный усилитель мощности” УФС-01. - 3шт. Лабораторный стенд “Амплитудная модуляция” УФС 02. - 3шт. Учебно-лабораторный стенд “Пассивный цифровой синтезатор частоты” УФС-4  Учебно-лабораторный стенд “Цифровой синтезатор частоты с ФАП” УФС-5,-
"Пулковская улица, 6","Аудитория 3-405, Лаборатория антенн, устройств СВЧ, электродинамики и распространение радиоволн",Спектроанализатор С4-60 – 2 шт.Учебный лабораторный комплекс для изучения приёмопередающих устройств и антенн – 1 шт. Анализатор СК4-27 спектра  - 1 шт.  Генератор Г4-128 сигналов высокочастотный  -1 шт. Генератор Г4-80 – 1 шт. Генератор Г4-83 – 2 шт. Частотомер Ч3-63/1 – 1 шт. Прибор измерительный РИП-3 радиолокационный – 3 шт.,-
"Пулковская улица, 6","Аудитория 3-416, Класс радиотехнического обеспечения полетов и организации воздушного движения","Мультимедийный проектор SANYO PLC XU-78 3000 ANSI XGA , Интерактивная доска- экран ACTIV BOARD 78 162*116.",-
"Пулковская улица, 6","Аудитория 3-415, Класс радиотехнического обеспечения полетов и организации воздушного движения","Мультимедийный проектор SANYO PLC XU-78 3000 ANSI XGA , Интерактивная доска- экран ACTIV BOARD 78 162*116.",-
"Пулковская улица, 6","Аудитория 3-401, Лаборатория радиотехнических цепей и сигналов и сигналов",Комплекс лабораторных стендов “Основы электроники” - 8 рабочих мест,-
"Пулковская улица, 6","Аудитория 3-414, Класс радиоэлектронного оборудования воздушных судов","Мультимедийный проектор SANYO PLC XU-78 3000 ANSI XGA , интерактивная доска- экран ACTIV BOARD 78 162*116.",-
"Пулковская улица, 6","Аудитория 3-421, Лаборатория радиолокационных систем и их эксплуатации",Станция радиолокационная стенд Гроза-86 Стенд Гроза-СБ Станция радиолокационная Гроза Станция радиолокационная Гроза Станция радиолокационная А 813 Ответчик самолетный СОМ-64 – 2 комп.,-
"Пулковская улица, 6","Аудитория 3-402,  Лаборатория радионавигационных и радиосвязных систем и их эксплуатации.",Радиостанции «Серии 200»:  - приёмопередатчик многоканальный ОВЧ с опцией EU230-S XU250A 6082 2017K03; - передатчик многоканальный ОВЧ SU250A 6082 2317K02; - блок дистанционного контроля и управления REM-BUS с опциями GV201-S GV201-TGV201; - приёмник многоканальный ОВЧ с опциями EU230-S IN201A EU230 6082.2917K02 Дальномер самолетный СД-67 Аппаратура навигации и посадки курс МП-70 – 2 компл. ПК преподавателя 1шт. Интерактивная проекционная система SMARTBOARDSBX 88014/UF65 Стол консоль преподавателя мультимедийная  Helios МЕБ 930695 Многоформативный переключатель коммутатор KRAMERVP-23C Документ-камера AVER VISION 300 AF,-
"Пулковская улица, 6","Аудитория 3-413 , Специализированный тренажер по технической эксплуатации транспортного радиооборудования","Специализированный тренажер технической эксплуатации летательных аппаратов и двигателей, авиационных электросистем и ПНК, транспортного радиооборудования НИТА",-
"Пулковская улица, 6","Аудитория 3-417 Учебная аудитория для проведения занятия семинарского типа, текущего контроля и промежуточной аттестации Специализированный компьютерный класс",Персональный компьютер - 11 шт,-
"Пулковская улица, 6","Аудитория 3-106, Учебная аудитория для проведения занятия семинарского типа, текущего контроля и промежуточной аттестации","Рабочие места -1 шт.Комплект учебной мебели (столы, стулья, доска), Мультимедийный проектор, 1 шт.; Твердомер-ТР 5006; Твердомер ТКС 14-250; Твердомер Темп-3 и комплектующие; Микроскопы  МИМ-7; Электропечь « Снол»-2шт.",-
"Пулковская улица, 6","Аудитория 3-105, Учебная аудитория для проведения занятия семинарского типа, текущего контроля и промежуточной аттестации","Комплект учебной лабораторной  мебели (столы, стулья, доска), Мультимедийный проектор, 1 шт.; Рабочие места -1 шт.",-
"Кронштадтский бульвар, 20",Аудитория В-306 Учебная аудитория для проведения занятий лекционного типа,"Моноблок Lenovo, Принтер HP LaserJet Pro M521dn, Проектор мультимедийный Panasonic PT-LB51NTE, Тумба 3 ящика 4 шт., Стол письменный 6 шт., Стул 13 шт., Кресло офисное, Жалюзи вертикальные цвет темно голубой.",-
"Кронштадтский бульвар, 20",Аудитория В-305  Аудитория для проведения практических занятий,"Место преподавателя лингафонного кабинета диалог, б/н, Место ученика лингафонного кабинета диалог-1 настольный вариант б/н, 12 шт., Доска передвижная поворотная магнитная ДП-11Б 75x100 см Маркер, бн, Гарнитура Ritmix RH-524M, Гарнитура Dialog M-750HV 11 шт., Гарнитура Sven AP-860MV, Стул 13 шт., Жалюзи вертикальные цвет бежевый.",-
"Кронштадтский бульвар, 20",Аудитория А-305 Учебная аудитория для проведения занятий лекционного типа,"Доска интерактивная Hitachi, Монитор Samsung 793 DF TCO 03, LB17H9LYA29426F, Рабочая станция Core 2 7300, в том числе: Систем. Блок 7300* Монитор 19TFT NEC, Рабочая станция тип 1 HP 260 G2 2TP61ES, б/н., Акустическая система Sven, Сейф Д-20, 9749, Стол письменный 1200 x 800 x 732 4 шт., Стол письменный 2 шт., Столик для проектора PT-1, Стул 16 шт., Тумба 3 ящика, Тумба 3 ящика 4 шт., Шкаф для одежды, Стенд информационный, б/н, Жалюзи вертикальные цвет бежевый 2 шт.",-
"Кронштадтский бульвар, 20",Зал для настольного тенниса,Столы для настольного тенниса - 3 шт.,-
"Кронштадтский бульвар, 20",Гимнастический зал,Стол инверсионный - 2 шт; секции шведской стенки - 14 шт;,-
"Кронштадтский бульвар, 20",Тренажерный зал,Тренажер эллипс - 1 шт; многофункциональный тренажер - 1 шт; грифы - 4 шт; опция - 1 шт; брусья параллельные - 1 шт; площадка элементная - 1 шт; скамья атлетическая - 3 шт; силовые тренажеры - 5 шт; штанга - 1 шт,-
"Кронштадтский бульвар, 20",Игровой зал,Баскетбольные фермы - 2 шт; ворота футбольные - 2 шт; кольца баскетбольные подвесные - 2 шт;  стойки волейбольные - 2 шт; стойки для большого тенниса - 2 шт; табло электронное - 1 шт; табло времени атаки - 2 шт; секции шведской стенки - 10 шт; вышка волейбольная - 1 шт; стойки для бадминтона - 2 шт;,-
"Кронштадтский бульвар, 20","Аудитория Б-502 Учебная аудитория для проведения занятия лекционного типа, семинарского типа, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска), Система для презентаций: 1.Интерактивная проекционная система SMARTBOARD SBX880 I4/UF65 – 1 шт. 2.Акустическая система JBL CONTROL 25-2 шт. 3.Документ камераAVER VISION 300 AF– 1 шт. 4.Кафедра стойка мультимедийная HELIOS MEB 620.691- 1 шт. 5.Компьютер преподавателя HP P3130PRO– 1 шт. 6.Монитор LG Flatron L1742SE-BF 7.Компьютер ITP Business Intel I3-8100/8GB/SSD256Gb/350W – 14 шт. 8.Монитор VienSonic VA2456-MHD - 14 шт. 9.Усилитель звуковой CROWN LPS 800– 1 шт.",-
"Кронштадтский бульвар, 20",Аудитория В-507 Учебная аудитория для проведения занятия семинарского типа,"Комплект учебной мебели (столы, стулья, доска),  Набор химической посуды Мультимедийный проектор, 1 шт.; Рабочая станция в составе с\б MODULE CM -2шт Рабочая станция тип 2HP 260 G2- 3шт Принтер НР, 1 шт.;  Сканер HP ScanJet 2400 C, 2 шт. Рабочие места -1 шт. РН-метр РН-150М,  Весы аналитические,  Дистиллятор электрический Д10,  Аппарат АРНС-1Э,  Аппарат для определения температуры вспышки в закрытом тигле,  Аппарат ТВ-3,  Измеритель плотности жидкостей цифровой лабораторный ВИП-2,  Термостат VIS-Т-S цифровой,  Шкаф сушильный. Аппарат автоматический для определения температуры вспышки в закрытом тигле АТВ-20,  рН-метр-милливольтметр рн-150М,  Термостат для измерений вязкости жидкостей VIS-T,  Вибрационный плотномер ВИП-2,  Прибор универсальный измерительный Р 4833,  Весы электронные KERN",-
