адрес_места_нахождения,наименование_кабинета,оснащенность,приспособленность_для_инвалидов
"Кронштадтский бульвар, 20","Аудитория В-506 Учебная аудитория для проведения занятия семинарского типа, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска),  Набор химической посуды Рабочая станция CORE2 -1шт Принтер НР1160,- 1 шт.;  Рабочие места -2 шт. Машина трения ЧМТ,  АДК «Призма»,  АРНС-Э – аппарат разгонки НС, Термостат для вискозиметров;  ЛСАРТ – определение термостабильности АТ;  АТВ – аппарат для определения температуры вспышки топлива;  Прибор определения вязкости пластических смазок,  Ареометр, пикнометр – определение плотности АТ,  Аппарат количественного определения воды АКОВ,  ИК-Фурье спектрометр,  Анализатор загрязнений жидкостей ГРАН 152,  Аппарат определения мехпримесей в топливе ПВФ35/1н,  Кулометрический титратор для определения содержания воды методом карла Фишера,  Рефрактометр ИРФ-454,  Система автоматического титрования 170,  Аппарат определения температуры помутнения и начала кристаллизации Кристалл 10Э,  Прибор ПОЗ Т. Виброметр «Корсар» Прибор определения фактических смол ПОС-01 Электропечь муфельная «СНОЛ» Универсальное устройство пробоподготовки Весы ЕК -200 G",-
"Кронштадтский бульвар, 20","Аудитория В-503 Учебная аудитория для проведения занятия семинарского типа, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска),  Набор химической посуды Мультимедийный проектор, 1 шт.; Дисплей TFT (Монитор Samsung LCD 17""710 N TFT), 2шт.; Рабочие места -1 шт. Компьютер преподавателя НР Р3130 РRО,  РН-метр РН-150М,  Плазменный телевизор с креплением,  Мост реохордный р38, -2шт Дистиллятор электрический Д25,  Измеритель плотности жидкостей цифровой лабораторный ВИП-2,",-
"Кронштадтский бульвар, 20",Аудитория В-502 Учебная аудитория для проведения занятия семинарского типа.,"Комплект учебной мебели (столы, стулья, доска),  Рабочая  станция Р-4-2 шт Рабочая станция тип 2HP 260 G2- 2шт Принтер НР -1320,- 1 шт.;  Рабочие места -2 шт. Проектор мультимедийный PANASONIK -1шт Доска аудиторная передвижная поворотная, Кондиционер KSGF70 Экран настенный -1 шт",-
"Кронштадтский бульвар, 20","Аудитория Б-401 Учебная аудитория для проведения занятия семинарского типа, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска),  Интерактивная проекционная система Smart board,  Эндоскоп –жесткий технический (угол 90 град.),  Диапроектор ЛЭТИ-60 (для подсветки),  Микроскоп бинокулярный МБС-10 – 2 шт.,  Микроскоп МБС-2,  Дефектоскоп ДАМИ-С09, Лампа УФО (КД- 33А), Дефектоскоп ПМД-70,  Установка 601-64С для магнитного контроля и выявления дефектов стальных деталей,  Ротор турбины ГТД, Комплект винта ВИШ – 306А, Диск ротора турбины, Комплект рабочих лопаток,  Автомат перекоса вертолета.",-
"Кронштадтский бульвар, 20","Аудитория Б-201 Учебная аудитория для проведения занятия лекционного типа, семинарского типа, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска),  Стационарный проектор Epson EB141 OWI-1 шт Автоматизированная лабораторная установка для исследования свойств полупроводниковых материалов МВ-ЭХ . Лабораторный стенд «Изучение диэлектрической проницаемости и диэлектрических потерь в твердых диэлектриках» МВ-004, Шлифовально –полировальный станок МР-2,  Установка для изучения температурной зависимости электропроводности металлов и полупроводников ФПК-07 Лабораторный стенд «Изучение электрической прочности твердых диэлектриков» МВ-002. Микроскоп металлографический для изучения микроструктур сплавов МИМ-7 Лабораторный комплекс по определению химического состава сплавов «Искролайн-100»",-
"Кронштадтский бульвар, 20","Аудитория Д-403  Учебная аудитория для проведения занятий лекционного типа, семинарского типа, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья,доска) Доска интерактивеая HITACHI, 1шт. Мультимед. ультракороткофокусный проектор EPSON, 1шт.  Моноблок LENOVO IDEACENRE c 445G 21.5*, 7шт",-
"Кронштадтский бульвар, 20","Аудитория Д-402  Учебная аудитория для проведения занятий лекционного типа, семинарского типа, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска) Интерактивная проекционная система SMARTBOARD, 1шт.  Компьютер преподавателя HP P3130 PRO, 1шт.",-
"Кронштадтский бульвар, 20","Аудитория Д-401  Учебная аудитория для проведения занятий лекционного типа, семинарского типа, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья,доска) Интерактивная доска ACTIV BOARD 95 216*116, 1шт. Рабочая станция тип2 НР 260G22vR73ES, 8шт) Компьютер преподавателя (ноутбук) ASUS, 1шт.  Устр-во отображения информ.проектор EPSON EB-970, 1шт,",-
"Кронштадтский бульвар, 20",Аудитория А-104 Учебная аудитория для проведения занятия лекционного типа,"Комплект мебели учебной, моноблок LENOVO THINK CENTRE EDGE 72Z 20"" – 10 шт.",-
"Кронштадтский бульвар, 20",Аудитория А-103 Учебная аудитория для проведения занятия лекционного типа,"Комплект мебели учебной, монитор SAMSUNG 17"" 757 P, монитор 17"" SAMSUNG 795MB TCO-99 - 2 шт, монитор SAMSUNG 793 DF TCO 03, LB17H9LYA29710L, моноблок LENOVO THINK CENTRE EDGE 72Z 20"" – 2 шт.,  ноутбук FUJITSU-STEMENS AMILJ D6820 PIV 2400 256MB 20GB V32MB FDD OOMB, рабочая станция CORE2 6550, в т.ч: сист.бл. CORE2 6550/FAN/ASUS; монитор19"" TFT, труба аэродинамическая дозвуковая УЛАК-1, экран на штативе SCREENMEDIA APOLLO T, столик для проектора РТ-1",-
"Кронштадтский бульвар, 20",Аудитория А-102 Учебная аудитория для проведения занятия лекционного типа,"Комплект мебели учебной, акустическая система с креплением JBL CONTROL 25, видеопроектор SANYO PLC-ХT 21 с объективом SANYO LNS-T с кроншт.креп. к потолку SMS, доска интерактивная HITACHI, доска трехстворчатая аудиторная пластиковая, кафедра (трибуна мультимедийная ) со стойкой HELIOS MEБ.330 NN2 и с комп. обор, лаборатория измерения механических усилий и деформаций, система СИИТ-2 №1, стапель для статических испытаний авиационных конструкций, монитор LG 17'' F 700 B, сист.блок P4-2800PRESCOTT533MHz+FAN/ASUS SIS651 P4SPMX+SB+SV+L/2*256M PC3200/... – 2 шт.,  кессон, нивелир, стапель",-
"Кронштадтский бульвар, 20",Аудитория А-101  учебная лаборатория,"Комплект мебели учебной, ноутбук TOSHIBA A9-RU T5470, осциллограф С1-93, 06022, весы аэродинамические, принтер HP LJ-1320, рабочая станция CORE2 6550, в т.ч: сист.бл. CORE2 6550/FAN/ASUS; монитор19"" TFT, сканер HP SJ 3800, аэродинамическая труба",-
"Кронштадтский бульвар, 20",Аудитория А-203  Учебная аудитория для проведения занятия семинарского типа,"Комплект учебной мебели (стулья, столы, доска), колесо тормозное КТ-14 -2 шт,планшет монтаж колес КТ171 на подставке, стенд противопожарная система и НГ из комплекта """"УЧЕБНЫЙ КЛАСС - ИЛ-86"""", стенд электронноимпульсная противооблединительная система самолета ИЛ-86,  стенд гидравлический гидроприводы и гидромашины (СГУ-СТ-08-6ЛР-02) (ТИП 1), стенд гидравлический гидромашины и гидроприводы (СГУ-АПН-08-5ЛР-01) (ТИП 2), стенд гидравлический механика жидкости (ТМЖ 2В-09-12ЛР-01) (ТИП 3),  монитор SAMSUNG 17"""" 757 P – 5 шт , монитор 17"""" SAMSUNG 795MB TCO-99, LE17KX826049W,  ПК FORMOZA P4-3.0 2MB EM64T/MB I915PL+SB+L/FAN/2*256M PC3200/3""""/80.0G (сист. блок) – 6 шт.",-
"Кронштадтский бульвар, 20",Аудитория А-202  Учебная аудитория для проведения занятия лекционного типа,"Комплект учебной мебели (стулья, столы), акустическая система с креплением JBL CONTROL 25 - 2 шт., кафедра стойка мультимедийная HELIOS MEБ 620.691 С МОДУЛЕМ QTEХ MDM-440, стойка амортизационная препарированная самолета ТУ-134, автомат перекоса компьютер преподавателя HP P3130 PRO, многоформатный переключатель коммутатор KRAMER VP-23 C, переключатель KRAMER VP-31, планшет гидроцилиндров ГЦ10Н И ГЦ20Н,  планшет загрузочного цилиндра и цилиндра скачка, планшет смесительного механизма спойлеров, планшет винтовых механизмов предкрылков и закрылков, планшет педалей,  планшет изменения углов отклонения руки направлений, планшет механизма изменений углов отклонения р.в. с загрузочными устройствами,  планшет колонки штурвала, разветвитель усилитель KRAMER VP-200K,   разветвитель УСИЛИТЕЛЬ KRAMER VP-200K, усилитель звуковой CROWN LPS 800, проектор PANASONIC",-
"Кронштадтский бульвар, 20",Аудитория А-201  Учебная лаборатория,"Комплект учебной мебели (стулья, столы, доска), макет самолета ИЛ-86, планшет клапана топливного бачка с насосом СН-13 и клапанного коллектора планшет цепи насосов ЭЦНГ-40-2 с клапанами, планшет насосной станции НС-55-3, планшет на гидроаккумулятор дозатор ГА-П2-4 и привод стеклоочистителя пс8нгж, планшет на насос НП-108, планшет цилиндр управления носового шасси, планшет на гидробак,  планшет крана слива топлива и эл. управляемого топливного крана планшет на электронасос ЭЦНГ-40-2, планшет крана 771000-2 и датчика РСИ-3б, аншет демпфер тележки шасси, планшет типовые компенсаторы и стык трубопроводов из комплекта ""учебный класс ИЛ-86"", планшет типовые узлы крепления трубопроводов СКВ ИЛ-86, аншет основные агрегаты системы АРД ИЛ-86, планшет турбохолодильника из комплекта ""учебный класс ИЛ-86"", планшет штуцер наземного кондиционирования из комплекта "" учебный класс ИЛ-86"", планшет заслонок СКВ ИЛ-86, планшет на турбонасосную установку ТНУ-86, стенд системы АРД в гермокабине самолета ИЛ-86, стенд система кондиционирования воздуха самолета ИЛ-86 стенд система управления шасси самолета ИЛ-86, стенд гидравлическая система самолета ИЛ-86, стенд электронная противооблединительная система самолета ТУ-154, стенд топливная система самолета ИЛ-86, турбохолодильник 2280т самолета ИЛ-62М",-
"Кронштадтский бульвар, 20","Аудитория А-405 Учебная аудитория для проведения занятий семинарского типа, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска), Дефектоскоп ТВД вихретоковый; Анализатор масла БАРС-3; Дефектоскоп ЭЛОТЕСТ токовихревой; Дефектоскоп МПД-1 магнитопорошковый; Дефектоскоп РОТОТЕСТ токовихревой; Дефектоскоп ДУЭТ токовихревой; Дефектоскоп АД-50У; Дефектоскоп УД2-12 ультразвуковой; Дефектоскоп ЭЛОТЕСТ В-1; Дефектоскоп ПОЛЕТ электромагнитный; Дефектоскоп ДАМИ-С2; Дефектоскоп ПЕЛЕНГ 700 АФ; Измеритель токопроводности ВЭ-17НЦ; Осциллограф С1-117 универсальный; Прибор ИВ-300 аппаратуры контроля вибрации; Толщиномер УТ-93П ультразвуковой; Дефектоскоп «ПЕЛЕНГ» УДЗ-103 ультразвуковой; Диапроектор ПЕЛЕНГ 700 АФ; Диапроектор ПЕЛЕНГ 700-АФ; Установка МФС-7 для анализа масел фотоэлектрическая; Устройство фильтрования масла; Характериограф Х1-40; Эндоскоп оптический ОЛИМПУС; Микроскоп ММУ-3; Прибор контроля примесей в маслах ПОЖ-М;  Проектор PANASONIC PT-LB10NTE; Рабочая станция 486 DX/40/4/256/VLB/210МБ/SVGA 0.28/MAUSE; Сплит систем SUPRA AC-S24A2HGI",-
"Кронштадтский бульвар, 20","Аудитория А-404 Учебная аудитория для проведения занятий семинарского типа, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска)",-
"Кронштадтский бульвар, 20","Аудитория А-402 Учебная аудитория для проведения занятий семинарского типа, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска)",-
"Кронштадтский бульвар, 20","Аудитория Б-202 Учебная аудитория для проведения занятия лекционного типа, семинарского типа, лабораторных работ, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска), Компьютер преподавателя HP P3130 PRO; Интерактивная проекционная система Smartboart SBX 880i4/UF65; Документ-камера Aver Vision 300AF; Усилитель звуковой Crown LPS-800; Акустическая система с креплением JBL Control25; Медиасервир оператора HP P3130 PRO; Копировальный аппарат CANNON 1215; Монитор Samsung 795MB TCO-99 – 1 шт. Монитор Samsung 793DF TCO 03 – 7 шт.; Принтер HP LJ 1150 A4 10400702; Системный блок P4-3200PRESCOTT800M Hz+FAN/MSi865PENEO2 PFS+SB+L/2*512M PC3200/3” - 1 шт.; Системный блок P4-2800/i865p/FAN/512M PC3200 FDD/80.0GB/CD-REW/12 8RADEON/LAN – 7 шт",-
"Кронштадтский бульвар, 20","Аудитория Б-104 Учебная аудитория для проведения занятия  семинарского типа, лабораторных работ, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска); Стол монтажный - 2шт.; Рабочая станция Р4- 5шт.;  Рабочая станция тип 2НР 260G2 VR73ES - 6шт.; Мультимедийный проектор Panasonic PTB 51NTE - 1шт.; Настенные стенды, плакаты; Образцы комплектующих для двигателей.",-
"Кронштадтский бульвар, 20","Аудитория Б-102 Учебная аудитория для проведения занятия  семинарского типа, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска), Мультимедийный проектор Panasonic PTB 51NTE - 1шт.; Рабочая станция Р4 - 1шт.; Макет двигателя -Д-36 - 1шт.; Макет двигателя Д-30КУ - 1шт.; Схемы, чертежи двигателей, плакаты, литература по двигателям; Образцы агрегатов и комплектующих для двигателей",-
"Кронштадтский бульвар, 20","Аудитория Б-101 Учебная аудитория для проведения занятия  семинарского типа, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска); Макет двигателя -НК-8 - 1шт.; Макет двигателя НК-86 - 1шт.; Макет двигателя JT-8D-15А - 1шт.; Планшет управления двигателями ИЛ-86 - 1шт.; Схемы, чертежи двигателей, плакаты; Образцы агрегатов и комплектующих для двигателей",-
"Кронштадтский бульвар, 20","Аудитория В-102 Учебная аудитория для проведения занятия семинарского типа, текущего контроля и промежуточной аттестации",Измеритель деформации цифровой ИДЦ1 измеритель деформации цифровой ИДЦ1 измеритель деформации цифровой ИДЦ1; комплект плакатов (60 шт.) по разделу «Детали машин»; наглядные пособия макеты деталей и узлов машин и механизмов.,-
"Кронштадтский бульвар, 20","Аудитория В-101 Учебная аудитория для проведения занятия семинарского типа, текущего контроля и промежуточной аттестации","Цифровая универсальная испытательная машина (WDW-100E) c компьютер. управл-м; стенд универсальный для проведения лаб. работ по курсу СМ; лабораторная установка для испытаний на изгиб с кручением (СМ-18А); маркерная доска передвижн. эмаль, 150х100; комплекс интерактивный: SMART BOARD SBD685IX/UX60; лабораторный практикум «Сопротивление материалов»",-
"Кронштадтский бульвар, 20","Аудитория А-502 Учебная аудитория для проведения занятия семинарского типа, текущего контроля и промежуточной аттестации","Комплект плакатов (1 к-т, 20 шт.) по разделу «Начертательная геометрия»; комплект плакатов (24 шт.) по разделу «Начертательная геометрия и инж.графика",-
"Кронштадтский бульвар, 20","Аудитория А-501 Учебная аудитория для проведения занятия семинарского типа, текущего контроля и промежуточной аттестации",3D сканер David Laserscanner Starter-Kit;         Компьютерный класс на 15 мест: - рабочая станция типа 2-2VR73ES - 15 шт.,-
"Кронштадтский бульвар, 20","Учебная аудитория для занятий семинарского типа, текущего контроля, 503В",Комплект специализированной мебели; РН-метр РН-150М;  Весы аналитические;  Дистиллятор электрический Д10; Компьютер преподавателя НР Р3130 РRО; Плазменный телевизор с креплением; Мост реохордный р38; Аппарат АРНС-1Э; Прибор разгонки нефтепродуктов; Аппарат для определения температуры  вспышки в закрытом тигле;  Аппарат ТВ-3; Весы ЕК-200G;  Дистиллятор электрический Д25; Измеритель плотности жидкостей цифровой лабораторный ВИП-2; Термостат VIS-Т-S цифровой; Шкаф сушильный,-
"Кронштадтский бульвар, 20","Учебная аудитория для занятий семинарского типа, текущего контроля 502В",Комплект специализированной мебели; Мультимедийный экран – 1 шт.,-
"Кронштадтский бульвар, 20","Учебная аудитория, 504Б",Комплект специализированной мебели; 1. Видеопроектор SANIO PLC-XU78 3000 ANIS LM XGA с кронштейном крепления к потолку SMS в составе: пульт дистанционного управления. 2. Акустическая система с креплением JBLCONTROL25 в составе: звуковая колонки – 2 шт. 3. Интерактивная доска-экран с программным обеспечением ACTIV BOARD 78 в составе: электронный карандаш – 2 шт. 4. Кафедра (трибуна мультимедийная) со стойкой HELIOS МЕБ.330 NN2 и набором обор в составе: усилитель звуковой CROWN XLS-402 450вт/4 Ом – 1 шт. 5. Микшерный пульт SOUNDCRAFT EPM8 – 1 шт. 6. Система коммуникации сигналов и управления комплексом HELIOS LECTORIUM 2000 – 1 шт. 7. Компьютер HP INTEL PENTIAM DUAL E200 – 1 шт. 8. Монитор VIEWSONIC VA703b – 1 шт. 9. Моноблок НР ProONE 400G1 19.5” HD CEL в составе : клавиатура – 12 шт. (+ мышь – 12 шт.).,-
"Кронштадтский бульвар, 20","Учебная аудитория для занятий семинарского типа, 503А",Комплект специализированной мебели,-
"Кронштадтский бульвар, 20","Учебная аудитория для занятий лекционного типа, 403Б",Комплект специализированной мебели,-
"Кронштадтский бульвар, 20","Учебная аудитория для занятий лекционного типа, 402Б",Комплект специализированной мебели. Люксометр ТКА-ЛЮКС. Практикум по исследованию света и освещенности. Стенд ОТ-8.,-
"Кронштадтский бульвар, 20","Учебная аудитория для занятий семинарского типа, текущего контроля, 300В",Комплект специализированной мебели; Компьютер преподавателя с аудиосистемой,-
"Кронштадтский бульвар, 20","Учебная аудитория для занятий лекционного типа, 303Б",Комплект специализированной мебели,-
"Кронштадтский бульвар, 20","Учебная аудитория для занятий семинарского типа, 302Б",Комплект специализированной мебели,-
"Кронштадтский бульвар, 20","Учебная аудитория для занятий семинарского типа, 301Б",Комплект специализированной мебели,-
"Кронштадтский бульвар, 20","Учебная аудитория для занятий семинарского типа, 304А",Комплект специализированной мебели,-
"Кронштадтский бульвар, 20","Учебная аудитория для занятий семинарского типа, 303А",Комплект специализированной мебели,-
"Кронштадтский бульвар, 20","Учебная аудитория, 302А",Комплект специализированной мебели,-
"Кронштадтский бульвар, 20","Учебная аудитория для занятий семинарского типа, 301А",Комплект специализированной мебели,-
"Кронштадтский бульвар, 20","Учебная аудитория для занятий лекционного типа,203В","Комплект специализированной мебели; ПК – 1 шт., Проектор – 1 шт., Экран – 1 шт.",-
"Кронштадтский бульвар, 20","Учебная аудитория для занятий лекционного типа, 202В","Комплект специализированной мебели; ПК – 1 шт., Проектор – 1 шт., Экран – 1 шт.",-
"Кронштадтский бульвар, 20","Учебная аудитория для занятий семинарского типа, текущего контроля, 201В",Комплект специализированной мебели; ПК-24 шт.,-
"Кронштадтский бульвар, 20","Учебная аудитория для занятий лекционного типа, 101Д","Комплект специализированной мебели; ПК – 1 шт., Проектор – 1 шт., Экран – 1 шт.",-
"Кронштадтский бульвар, 20","Учебная аудитория для занятий лекционного типа, 105Г","Комплект специализированной мебели; ПК – 1 шт., Проектор – 1 шт., Экран – 1 шт.",-
"Кронштадтский бульвар, 20",Учебная аудитория для занятий лекционного типа 21Р,"Комплект специализированной мебели; ПК – 1 шт., Проектор – 1 шт., Экран – 1 шт.",-
"Кронштадтский бульвар, 20","Учебная аудитория для занятий лекционного типа, 19Р","Комплект специализированной мебели; ПК – 1 шт., Проектор – 1 шт., Экран – 1 шт.",-
"Кронштадтский бульвар, 20","Учебная аудитория для занятий лекционного типа, групповых и индивидуальных консультаций, промежуточной аттестации 18Р","Комплект специализированной мебели; ПК – 1 шт., Проектор – 1 шт., Экран – 1 шт.",-
"Кронштадтский бульвар, 20","Учебная аудитория для занятий лекционного типа, 16Р","Комплект специализированной мебели; ПК – 1 шт., Проектор – 1 шт., Экран – 1 шт.",-
"Кронштадтский бульвар, 20",Учебная аудитория для занятий лекционного типа 15Р,"Комплект специализированной мебели; ПК – 1 шт., Проектор – 1 шт., Экран – 1 шт.",-
"Кронштадтский бульвар, 20","Учебная аудитория для занятий лекционного типа, 13Р","Комплект специализированной мебели; ПК – 1 шт., Проектор – 1 шт., Экран – 1 шт.",-
"Кронштадтский бульвар, 20","Учебная аудитория для  занятий лекционного типа, 12Р","Комплект специализированной мебели; ПК – 1 шт., Проектор – 1 шт., Экран – 1 шт",-
"Кронштадтский бульвар, 20","Учебная аудитория для  занятий лекционного типа, 10Р","Комплект специализированной мебели; ПК – 1 шт., Проектор – 1 шт., Экран – 1 шт.",-
"Кронштадтский бульвар, 20",Учебная аудитория для занятий лекционного типа  9Р,"Комплект специализированной мебели; ПК – 1 шт., Проектор – 1 шт., Экран – 1 ш",-
"Кронштадтский бульвар, 20",Учебная аудитория для занятий лекционного типа 7Р,"Комплект специализированной мебели; ПК – 1 шт., Проектор – 1 шт., Экран – 1 шт. Комплект специализированной мебели; ПК – 1 шт., Проектор – 1 шт., Экран – 1 шт.",-
"Кронштадтский бульвар, 20","Учебная аудитория для проведения занятий лекционного типа, 6Р","""Комплект специализированной мебели; ПК – 1 шт., Проектор – 1 шт., Экран – 1 шт. Комплект специализированной мебели; ПК – 1 шт., Проектор – 1 шт., Экран – 1 шт. """,-
"Кронштадтский бульвар, 20","Учебная аудитория для занятий лекционного типа,  4Р","Комплект специализированной мебели; ПК – 1 шт., Проектор – 1 шт., Экран – 1 шт.",-
"Кронштадтский бульвар, 20","Учебная аудитория для занятий лекционного типа, 3р",Комплект специализированной мебели; ПК-1шт; Проектор -1шт; Экран- 1шт,-
"Кронштадтский бульвар, 20","Учебная аудитория для занятий лекционного типа, 2р",Комплект специализированной мебели,-
"Кронштадтский бульвар, 20","Учебная аудитория для занятий лекционного типа, 1р",Комплект специализированной мебели; ПК-1шт; Проектор -1шт; Экран- 1шт,-
